"SPEC","Freq","aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Parapasiphae sulcatifrons",12,107673,"Parapasiphae sulcatifrons","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae","Parapasiphae sulcatifrons"
"Parasudis truculenta",66,158868,"Parasudis truculenta","Animalia","Chordata","Actinopteri","Aulopiformes","Chlorophthalmidae","Parasudis","Parasudis truculenta"
"Parathemisto",6,147082,"Parathemisto","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Parathemisto",NA
"Pasiphaea multidentata",351,107676,"Pasiphaea multidentata","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Pasiphaea multidentata"
"Pasiphaea tarda",35,107678,"Pasiphaea tarda","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Pasiphaea tarda"
"Pelagia noctiluca",13,135305,"Pelagia noctiluca","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Pelagia","Pelagia noctiluca"
"Pennatula aculeata",56,128515,"Pennatula aculeata","Animalia","Cnidaria","Anthozoa","Pennatulacea","Pennatulidae","Pennatula","Pennatula aculeata"
"Pennatula grandis",6,128516,"Pennatula grandis","Animalia","Cnidaria","Anthozoa","Pennatulacea","Pennatulidae","Pennatula","Pennatula grandis"
"Pentamera calcigera",1,124655,"Pentamera calcigera","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Phyllophoridae","Pentamera","Pentamera calcigera"
"Peprilus triacanthus",972,159828,"Peprilus triacanthus","Animalia","Chordata","Actinopteri","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus"
"Periphylla periphylla",6,135294,"Periphylla periphylla","Animalia","Cnidaria","Scyphozoa","Coronatae","Periphyllidae","Periphylla","Periphylla periphylla"
"Peristedion miniatum",22,159550,"Peristedion miniatum","Animalia","Chordata","Actinopteri","Perciformes","Peristediidae","Peristedion","Peristedion miniatum"
"Petromyzon marinus",130,101174,"Petromyzon marinus","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus"
"Pholis fasciata",7,159846,"Pholis fasciata","Animalia","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis fasciata"
"Pholis gunnellus",30,126996,"Pholis gunnellus","Animalia","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus"
"Photostomias guernei",1,127372,"Photostomias guernei","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Photostomias","Photostomias guernei"
"Phronima",13,101804,"Phronima","Animalia","Arthropoda","Malacostraca","Amphipoda","Phronimidae","Phronima",NA
"Plesionika martia",4,107661,"Plesionika martia","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Plesionika","Plesionika martia"
"Plutonaster agassizi",5,123639,"Plutonaster agassizi","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Plutonaster","Plutonaster agassizi"
"Pollachius virens",4591,126441,"Pollachius virens","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"Polyacanthonotus rissoanus",3,126645,"Polyacanthonotus rissoanus","Animalia","Chordata","Actinopteri","Notacanthiformes","Notacanthidae","Polyacanthonotus","Polyacanthonotus rissoanus"
"Polycheles sculptus",10,183356,"Polycheles sculptus","Animalia","Arthropoda","Malacostraca","Decapoda","Polychelidae","Polycheles","Polycheles sculptus"
"Polyipnus clarus",32,158840,"Polyipnus clarus","Animalia","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Polyipnus","Polyipnus clarus"
"Polymetme corythaeola",1,127300,"Polymetme corythaeola","Animalia","Chordata","Actinopteri","Stomiiformes","Phosichthyidae","Polymetme","Polymetme corythaeola"
"Polymixia lowei",31,158923,"Polymixia lowei","Animalia","Chordata","Actinopteri","Polymixiiformes","Polymixiidae","Polymixia","Polymixia lowei"
"Polymixia nobilis",11,127163,"Polymixia nobilis","Animalia","Chordata","Actinopteri","Polymixiiformes","Polymixiidae","Polymixia","Polymixia nobilis"
"Polynoidae",107,939,"Polynoidae","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae",NA,NA
"Pontaster",30,123244,"Pontaster","Animalia","Echinodermata","Asteroidea","Notomyotida","Benthopectinidae","Pontaster",NA
"Pontophilus norvegicus",207,107563,"Pontophilus norvegicus","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Pontophilus","Pontophilus norvegicus"
"Porania pulvillus",312,125166,"Porania (Porania) pulvillus","Animalia","Echinodermata","Asteroidea","Valvatida","Poraniidae","Porania","Porania (Porania) pulvillus"
"Poraniomorpha",171,123321,"Poraniomorpha","Animalia","Echinodermata","Asteroidea","Valvatida","Poraniidae","Poraniomorpha",NA
"Porifera",2495,558,"Porifera","Animalia","Porifera",NA,NA,NA,NA,NA
"Poromitra crassiceps",1,127273,"Poromitra crassiceps","Animalia","Chordata","Actinopteri","Beryciformes","Melamphaidae","Poromitra","Poromitra crassiceps"
"Potamilla neglecta",1,130954,"Potamilla neglecta","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Potamilla","Potamilla neglecta"
"Primnoa resedaeformis",17,125411,"Primnoa resedaeformis","Animalia","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","Primnoa","Primnoa resedaeformis"
"Prionotus carolinus",51,159571,"Prionotus carolinus","Animalia","Chordata","Actinopteri","Perciformes","Triglidae","Prionotus","Prionotus carolinus"
"Pseudarchaster parelii",252,124085,"Pseudarchaster parelii","Animalia","Echinodermata","Asteroidea","Paxillosida","Pseudarchasteridae","Pseudarchaster","Pseudarchaster parelii"
"Pseudopleuronectes americanus",3155,158885,"Pseudopleuronectes americanus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus"
"Pseudoscopelus",1,125958,"Pseudoscopelus","Animalia","Chordata","Actinopteri","Scombriformes","Chiasmodontidae","Pseudoscopelus",NA
"Psilaster andromeda",323,123908,"Psilaster andromeda","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Psilaster","Psilaster andromeda"
"Psolus fabricii",4,124703,"Psolus fabricii","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Psolidae","Psolus","Psolus fabricii"
"Psolus phantapus",17,124710,"Psolus phantapus","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Psolidae","Psolus","Psolus phantapus"
"Pteraster militaris",298,124147,"Pteraster militaris","Animalia","Echinodermata","Asteroidea","Velatida","Pterasteridae","Pteraster","Pteraster militaris"
"Pteraster pulvillus",75,124151,"Pteraster pulvillus","Animalia","Echinodermata","Asteroidea","Velatida","Pterasteridae","Pteraster","Pteraster pulvillus"
"Pterygioteuthis",1,138422,"Pterygioteuthis","Animalia","Mollusca","Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis",NA
"Puffinus gravis",1,137201,"Puffinus gravis","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus gravis"
"Pycnogonum littorale",19,134744,"Pycnogonum littorale","Animalia","Arthropoda","Pycnogonida","Pantopoda","Pycnogonidae","Pycnogonum","Pycnogonum littorale"
"Radicipes gracilis",22,125357,"Radicipes gracilis","Animalia","Cnidaria","Anthozoa","Alcyonacea","Chrysogorgiidae","Radicipes","Radicipes gracilis"
"Raja bathyphila",1,298861,"Raja bathyphila","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja bathyphila"
"Raja eglanteria",4,158556,"Raja eglanteria","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja eglanteria"
"Raja garmani",3,298918,"Raja garmani","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja garmani"
"Rajella fyllae",29,105894,"Rajella fyllae","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Rajella","Rajella fyllae"
"Reinhardtius hippoglossoides",1268,127144,"Reinhardtius hippoglossoides","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides"
"Remora brachyptera",1,126851,"Remora brachyptera","Animalia","Chordata","Actinopteri","Carangiformes","Echeneidae","Remora","Remora brachyptera"
"Rhachotropis aculeata",13,102224,"Rhachotropis aculeata","Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Rhachotropis","Rhachotropis aculeata"
"Rhinochimaera atlantica",26,105830,"Rhinochimaera atlantica","Animalia","Chordata","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","Rhinochimaera atlantica"
"Rondeletia loricata",4,126412,"Rondeletia loricata","Animalia","Chordata","Actinopteri","Beryciformes","Rondeletiidae","Rondeletia","Rondeletia loricata"
"Rossia",7,602300,"Rossia","Chromista","Ochrophyta","Bacillariophyceae","Naviculales","Sellaphoraceae","Rossia",NA
"Rouleina attrita",4,126709,"Rouleina attrita","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Rouleina","Rouleina attrita"
"Rouleina maderensis",1,126710,"Rouleina maderensis","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Rouleina","Rouleina maderensis"
"Sabinea sarsii",36,107566,"Sabinea sarsii","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Sabinea","Sabinea sarsii"
"Sabinea septemcarinata",22,107567,"Sabinea septemcarinata","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Sabinea","Sabinea septemcarinata"
"Saccorhiza dermatodea",1,145734,"Saccorhiza dermatodea","Chromista","Ochrophyta","Phaeophyceae","Tilopteridales","Phyllariaceae","Saccorhiza","Saccorhiza dermatodea"
"Salmo salar",2,127186,"Salmo salar","Animalia","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar"
"Saurida brasiliensis",2,158756,"Saurida brasiliensis","Animalia","Chordata","Actinopteri","Aulopiformes","Synodontidae","Saurida","Saurida brasiliensis"
"Scaphander punctostriatus",16,139490,"Scaphander punctostriatus","Animalia","Mollusca","Gastropoda","Cephalaspidea","Scaphandridae","Scaphander","Scaphander punctostriatus"
"Sclerasterias tanneri",58,178806,"Sclerasterias tanneri","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Sclerasterias","Sclerasterias tanneri"
"Sclerocrangon boreas",81,107568,"Sclerocrangon boreas","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Sclerocrangon","Sclerocrangon boreas"
"Scomber scombrus",1738,127023,"Scomber scombrus","Animalia","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus"
"Scomberesox saurus saurus",57,236461,"Scomberesox saurus saurus","Animalia","Chordata","Actinopteri","Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus"
"Scopelarchus analis",1,126367,"Scopelarchus analis","Animalia","Chordata","Actinopteri","Aulopiformes","Scopelarchidae","Scopelarchus","Scopelarchus analis"
"Scopeloberyx robustus",1,127276,"Scopeloberyx robustus","Animalia","Chordata","Actinopteri","Beryciformes","Melamphaidae","Scopeloberyx","Scopeloberyx robustus"
"Scopelogadus beanii",25,127278,"Scopelogadus beanii","Animalia","Chordata","Actinopteri","Beryciformes","Melamphaidae","Scopelogadus","Scopelogadus beanii"
"Scopelosaurus lepidus",10,126349,"Scopelosaurus lepidus","Animalia","Chordata","Actinopteri","Aulopiformes","Notosudidae","Scopelosaurus","Scopelosaurus lepidus"
"Scophthalmus aquosus",1771,158907,"Scophthalmus aquosus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus"
"Scyliorhinus retifer",2,158516,"Scyliorhinus retifer","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus retifer"
"Sebastes",6227,126175,"Sebastes","Animalia","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"Selar crumenophthalmus",1,159646,"Selar crumenophthalmus","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Selar","Selar crumenophthalmus"
"Sergia robusta",30,107136,"Sergia robusta","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Sergia","Sergia robusta"
"Seriola dumerili",1,126816,"Seriola dumerili","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","Seriola dumerili"
"Serripes groenlandicus",8,582749,"Serripes groenlandicus","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Serripes","Serripes groenlandicus"
"Serrivomer beanii",42,126319,"Serrivomer beanii","Animalia","Chordata","Actinopteri","Anguilliformes","Serrivomeridae","Serrivomer","Serrivomer beanii"
"Sertularia polyzonias",13,152089,"Sertularia polyzonias","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Sertularia","Sertularia polyzonias"
"Setarches guentheri",2,127258,"Setarches guentheri","Animalia","Chordata","Actinopteri","Perciformes","Setarchidae","Setarches","Setarches guentheri"
"Siliqua",1,159997,"Siliqua","Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Siliqua",NA
"Simenchelys parasitica",35,126327,"Simenchelys parasitica","Animalia","Chordata","Actinopteri","Anguilliformes","Synaphobranchidae","Simenchelys","Simenchelys parasitica"
"Solaster endeca",566,124160,"Solaster endeca","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","Solaster endeca"
"Solemya borealis",1,156992,"Solemya borealis","Animalia","Mollusca","Bivalvia","Solemyida","Solemyidae","Solemya","Solemya borealis"
"Sphoeroides maculatus",4,158934,"Sphoeroides maculatus","Animalia","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides maculatus"
"Spinolambrus pourtalesii",4,442342,"Spinolambrus pourtalesii","Animalia","Arthropoda","Malacostraca","Decapoda","Parthenopidae","Spinolambrus","Spinolambrus pourtalesii"
"Spirontocaris fabricii",1,579998,"Spirontocaris fabricii","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","Spirontocaris fabricii"
"Spirontocaris liljeborgii",157,107531,"Spirontocaris liljeborgii","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","Spirontocaris liljeborgii"
"Spirontocaris phippsii",16,107532,"Spirontocaris phippsii","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","Spirontocaris phippsii"
"Spirontocaris spinus",102,107533,"Spirontocaris spinus","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","Spirontocaris spinus"
"Spisula solidissima",17,156996,"Spisula solidissima","Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula","Spisula solidissima"
"Squalus acanthias",3709,105923,"Squalus acanthias","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias"
"Stegocephalus inflatus",3,103105,"Stegocephalus inflatus","Animalia","Arthropoda","Malacostraca","Amphipoda","Stegocephalidae","Stegocephalus","Stegocephalus inflatus"
"Stenotomus chrysops",7,159811,"Stenotomus chrysops","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Stenotomus","Stenotomus chrysops"
"Stephanasterias albula",1,123808,"Stephanasterias albula","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Stephanasterias","Stephanasterias albula"
"Stephanolepis hispidus",4,127409,"Stephanolepis hispidus","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Stephanolepis","Stephanolepis hispidus"
"Stereoderma unisemita",6,158488,"Stereoderma unisemita","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Stereoderma","Stereoderma unisemita"
"Stereomastis sculpta",4,107700,"Stereomastis sculpta","Animalia","Arthropoda","Malacostraca","Decapoda","Polychelidae","Stereomastis","Stereomastis sculpta"
"Sternoptyx diaphana",9,127314,"Sternoptyx diaphana","Animalia","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Sternoptyx","Sternoptyx diaphana"
"Stichaeus punctatus",2,159819,"Stichaeus punctatus","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus"
"Stomias boa ferox",144,158737,"Stomias boa ferox","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Stomias","Stomias boa"
"Stomphia coccinea",5,100854,"Stomphia coccinea","Animalia","Cnidaria","Anthozoa","Actiniaria","Actinostolidae","Stomphia","Stomphia coccinea"
"Strongylocentrotus",2114,123390,"Strongylocentrotus","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus",NA
"Symphurus diomedeanus",80,159358,"Symphurus diomedeanus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Cynoglossidae","Symphurus","Symphurus diomedeanus"
"Synagrops bella",4,401231,"Synagrops bella","Animalia","Chordata","Actinopteri","Acropomatiformes","Acropomatidae","Synagrops","Synagrops bella"
"Synaphobranchus kaupi",136,158666,"Synaphobranchus kaupi","Animalia","Chordata","Actinopteri","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus kaupi"
"Syngnathus fuscus",49,159451,"Syngnathus fuscus","Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus"
"Syscenus infelix",5,156446,"Syscenus infelix","Animalia","Arthropoda","Malacostraca","Isopoda","Aegidae","Syscenus","Syscenus infelix"
"Tautogolabrus adspersus",370,159785,"Tautogolabrus adspersus","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Tautogolabrus","Tautogolabrus adspersus"
"Tealia felina",11,100798,"Tealia felina","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Tealia","Tealia felina"
"Terebratulina septentrionalis",18,104056,"Terebratulina septentrionalis","Animalia","Brachiopoda","Rhynchonellata","Terebratulida","Cancellothyrididae","Terebratulina","Terebratulina septentrionalis"
"Teuthowenia megalops",3,139429,"Teuthowenia megalops","Animalia","Mollusca","Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia","Teuthowenia megalops"
"Thyonella pervicax",3,422527,"Thyonella pervicax","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Thyonella","Thyonella pervicax"
"Thysanoessa raschii",4,110711,"Thysanoessa raschii","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa raschii"
"Torpedo nobiliana",18,157868,"Torpedo nobiliana","Animalia","Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Torpedo","Torpedo nobiliana"
"Trachyrincus murrayi",27,126481,"Trachyrincus murrayi","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Trachyrincus","Trachyrincus murrayi"
"Tremaster mirabilis",2,124002,"Tremaster mirabilis","Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Tremaster","Tremaster mirabilis"
"Triglops",2134,126154,"Triglops","Animalia","Chordata","Actinopteri","Perciformes","Cottidae","Triglops",NA
"Ulva",5,144296,"Ulva","Plantae",NA,"Ulvophyceae","Ulvales","Ulvaceae","Ulva",NA
"Ulvaria subbifurcata",225,159821,"Ulvaria subbifurcata","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Ulvaria","Ulvaria subbifurcata"
"Urasterias lincki",53,123815,"Urasterias lincki","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Urasterias","Urasterias lincki"
"Urophycis chesteri",1466,301114,"Urophycis chesteri","Animalia","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chesteri"
"Urophycis chuss",3864,126503,"Urophycis chuss","Animalia","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss"
"Urophycis regia",34,158991,"Urophycis regia","Animalia","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis regia"
"Urophycis tenuis",5523,126504,"Urophycis tenuis","Animalia","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis tenuis"
"Vazella pourtalesi",141,172121,"Vazella pourtalesii","Animalia","Porifera","Hexactinellida","Lyssacinosida","Rossellidae","Vazella","Vazella pourtalesii"
"Velutinidae",1,143,"Velutinidae","Animalia","Mollusca","Gastropoda","Littorinimorpha","Velutinidae",NA,NA
"Venefica procera",2,158593,"Venefica procera","Animalia","Chordata","Actinopteri","Anguilliformes","Nettastomatidae","Venefica","Venefica procera"
"Venericardia borealis",4,546035,"Venericardia borealis","Animalia","Mollusca","Bivalvia","Carditida","Carditidae","Venericardia","Venericardia borealis"
"Venus mercenaria",6,366872,"Venus mercenaria","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Venus","Venus mercenaria"
"Vinciguerria nimbaria",1,127303,"Vinciguerria nimbaria","Animalia","Chordata","Actinopteri","Stomiiformes","Phosichthyidae","Vinciguerria","Vinciguerria nimbaria"
"Vomer setapinnis",3,322385,"Vomer setapinnis","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Vomer","Vomer setapinnis"
"Xenodermichthys copei",6,126714,"Xenodermichthys copei","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Xenodermichthys","Xenodermichthys copei"
"Xenolepidichthys dalgleishi",5,159432,"Xenolepidichthys dalgleishi","Animalia","Chordata","Actinopteri","Zeiformes","Grammicolepididae","Xenolepidichthys","Xenolepidichthys dalgleishi"
"Xiphias gladius",2,127094,"Xiphias gladius","Animalia","Chordata","Actinopteri","Carangiformes","Xiphiidae","Xiphias","Xiphias gladius"
"Yoldia",1,138672,"Yoldia","Animalia","Mollusca","Bivalvia","Nuculanida","Yoldiidae","Yoldia",NA
"Zenopsis ocellata",65,307180,"Zenopsis ocellata","Animalia","Chordata","Actinopteri","Zeiformes","Zeidae","Zenopsis","Zenopsis ocellata"
"Zoarces americanus",3132,159267,"Zoarces americanus","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces americanus"
"Zostera marina",1,495077,"Zostera marina","Plantae",NA,"Magnoliopsida","Alismatales","Zosteraceae","Zostera","Zostera marina"
